epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,113.655,0.82954,0.5272,0.90303,0.99699,1,0.995,0.81713,0.80245,0.43937,0.97498,0.0001783,0.0001783,0.0001783
85,115.005,0.90507,0.54563,0.93848,0.99688,1,0.995,0.81506,0.78429,0.43587,0.96844,0.0001684,0.0001684,0.0001684
86,116.363,0.91867,0.50999,0.95416,0.99847,1,0.995,0.79784,0.83619,0.43413,0.98543,0.0001585,0.0001585,0.0001585
87,117.747,0.85327,0.51544,0.92905,0.99833,1,0.995,0.78936,0.82352,0.43867,0.97923,0.0001486,0.0001486,0.0001486
88,119.101,0.84928,0.48702,0.92587,0.99874,1,0.995,0.83098,0.73983,0.4324,0.94885,0.0001387,0.0001387,0.0001387
89,120.454,0.86568,0.5248,0.9464,1,0.99993,0.995,0.84393,0.70671,0.43131,0.9386,0.0001288,0.0001288,0.0001288
90,121.835,0.84682,0.52589,0.96248,1,0.99983,0.995,0.83804,0.71014,0.42462,0.93918,0.0001189,0.0001189,0.0001189
91,147.949,0.93732,0.50759,1.01304,0.99909,1,0.995,0.83727,0.70973,0.41479,0.93946,0.000109,0.000109,0.000109
92,150.755,0.82229,0.50615,1.00911,0.99727,1,0.995,0.84291,0.71121,0.42013,0.93613,9.91e-05,9.91e-05,9.91e-05
93,152.22,0.7378,0.46185,0.92089,0.99805,1,0.995,0.829,0.74312,0.42341,0.94506,8.92e-05,8.92e-05,8.92e-05
94,153.595,0.83934,0.51634,0.99107,0.99817,1,0.995,0.82176,0.76453,0.42182,0.9508,7.93e-05,7.93e-05,7.93e-05
95,154.978,0.86718,0.51506,1.02936,0.9982,1,0.995,0.83034,0.75365,0.4268,0.94732,6.94e-05,6.94e-05,6.94e-05
96,156.366,0.82252,0.46987,0.96806,0.99857,1,0.995,0.84978,0.6883,0.4124,0.92771,5.95e-05,5.95e-05,5.95e-05
97,157.723,0.81325,0.4751,0.96031,0.99869,1,0.995,0.85044,0.66241,0.40708,0.92158,4.96e-05,4.96e-05,4.96e-05
98,159.073,0.77748,0.45467,0.9476,0.99872,1,0.995,0.85195,0.65484,0.40873,0.91895,3.97e-05,3.97e-05,3.97e-05
99,160.43,0.8453,0.47339,1.00103,0.99872,1,0.995,0.85315,0.65652,0.41001,0.91852,2.98e-05,2.98e-05,2.98e-05
100,161.793,0.79173,0.47316,0.96927,0.99871,1,0.995,0.85214,0.65367,0.40743,0.91731,1.99e-05,1.99e-05,1.99e-05
